Step,Epsilon-Greedy (ε=0.1),UCB (c=2.0),Thompson Sampling
0,0,0,0
1,0,0,0
2,1,0,1
3,1,1,1
4,2,2,1
5,2,2,1
6,3,3,2
7,4,3,2
8,4,3,3
9,4,3,3
10,5,3,3
11,5,4,3
12,6,4,4
13,6,4,4
14,6,5,5
15,7,6,5
16,7,6,5
17,8,6,5
18,9,6,5
19,9,7,6
20,10,8,7
21,11,9,7
22,11,9,8
23,11,10,8
24,11,11,9
25,11,11,10
26,11,11,10
27,12,11,11
28,12,11,11
29,12,11,11
30,13,12,12
31,14,13,12
32,15,14,12
33,15,14,13
34,16,14,13
35,16,14,13
36,16,15,13
37,17,15,13
38,17,15,13
39,18,15,14
40,19,15,14
41,19,15,15
42,19,15,16
43,19,16,16
44,19,17,17
45,19,18,18
46,19,18,18
47,20,18,19
48,21,18,20
49,21,19,20
50,21,20,20
51,22,21,20
52,22,22,20
53,22,22,20
54,23,22,20
55,23,23,21
56,23,24,22
57,24,24,23
58,24,25,24
59,25,25,24
60,26,26,25
61,27,27,26
62,27,28,26
63,27,29,27
64,28,29,28
65,29,30,28
66,29,30,28
67,29,31,28
68,29,32,28
69,30,33,29
70,30,34,29
71,31,34,29
72,31,34,29
73,31,35,30
74,31,36,30
75,32,37,31
76,33,38,32
77,33,38,32
78,33,38,33
79,33,38,34
80,33,38,35
81,33,39,35
82,34,39,36
83,34,39,37
84,35,39,38
85,35,39,39
86,35,39,40
87,35,39,40
88,35,40,41
89,36,41,41
90,36,42,42
91,37,42,42
92,37,43,42
93,37,43,43
94,38,43,43
95,38,43,43
96,38,44,44
97,38,45,45
98,38,45,46
99,38,45,46
100,38,45,46
101,39,46,47
102,39,46,47
103,39,46,48
104,40,46,49
105,41,46,50
106,41,46,50
107,42,47,51
108,42,48,52
109,43,48,53
110,43,49,54
111,43,49,55
112,44,49,55
113,44,49,56
114,45,49,56
115,45,50,56
116,46,50,57
117,46,50,58
118,46,51,59
119,46,51,60
120,46,51,60
121,46,51,60
122,47,51,61
123,48,51,62
124,48,51,63
125,48,52,64
126,49,52,65
127,49,52,66
128,50,52,66
129,50,53,66
130,50,54,66
131,51,54,67
132,51,54,67
133,51,54,67
134,51,54,68
135,51,54,69
136,51,55,70
137,52,55,71
138,53,55,71
139,54,55,72
140,54,55,72
141,54,55,72
142,55,55,72
143,55,56,72
144,55,56,72
145,55,56,72
146,55,56,72
147,55,56,72
148,56,57,73
149,56,58,73
150,57,59,74
151,57,60,75
152,58,60,76
153,59,60,77
154,59,61,77
155,60,62,78
156,60,63,78
157,60,64,78
158,60,65,79
159,60,66,80
160,60,66,81
161,60,67,81
162,61,68,82
163,62,68,83
164,62,69,84
165,62,69,84
166,63,70,85
167,63,71,85
168,63,72,85
169,63,72,85
170,63,72,85
171,64,72,86
172,65,72,86
173,65,72,87
174,65,72,88
175,65,73,88
176,65,74,88
177,65,75,88
178,66,76,88
179,67,77,88
180,67,78,89
181,67,79,89
182,68,80,89
183,68,80,90
184,69,80,90
185,70,81,90
186,70,82,90
187,70,83,90
188,70,83,90
189,71,84,90
190,71,84,91
191,71,84,92
192,71,85,93
193,72,86,94
194,72,87,94
195,72,87,94
196,73,87,94
197,73,87,94
198,73,87,94
199,73,87,94
200,73,88,95
201,74,89,95
202,74,90,96
203,74,91,96
204,74,91,97
205,75,92,98
206,75,92,99
207,75,92,100
208,75,92,101
209,75,93,101
210,76,94,102
211,76,94,103
212,76,94,104
213,76,94,105
214,76,95,106
215,76,96,107
216,77,96,108
217,77,96,109
218,77,97,109
219,78,97,109
220,79,97,109
221,79,97,109
222,79,97,110
223,79,98,110
224,80,98,111
225,80,98,112
226,81,98,112
227,82,99,112
228,83,100,112
229,83,100,113
